Approved symbol	Approved name	Previous symbols	Synonyms	Chromosome	Accession numbers	RefSeq IDs	Ensembl gene ID	NCBI Gene ID
KCMF1	potassium channel modulatory factor 1		"DEBT91, PCMF, DKFZP434L1021, ZZZ1"	2p11.2	AF155652	NM_020122	ENSG00000176407	56888
KCNA1	potassium voltage-gated channel subfamily A member 1	AEMK	"Kv1.1, RBK1, HUK1, MBK1"	12p13.32	L02750	NM_000217	ENSG00000111262	3736
KCNA2	potassium voltage-gated channel subfamily A member 2		"Kv1.2, HK4"	1p13.3	L02752	NM_004974	ENSG00000177301	3737
KCNA3	potassium voltage-gated channel subfamily A member 3		"Kv1.3, MK3, HLK3, HPCN3"	1p13.3	L23499	NM_002232	ENSG00000177272	3738
KCNA4	potassium voltage-gated channel subfamily A member 4	KCNA4L	"Kv1.4, HK1, HPCN2"	11p14.1	M55514	NM_002233	ENSG00000182255	3739
KCNA5	potassium voltage-gated channel subfamily A member 5		"Kv1.5, HK2, HPCN1"	12p13.32	M83254	NM_002234	ENSG00000130037	3741
KCNA6	potassium voltage-gated channel subfamily A member 6		"Kv1.6, HBK2, PPP1R96"	12p13.32	X17622	NM_002235	ENSG00000151079	3742
KCNA7	potassium voltage-gated channel subfamily A member 7		"Kv1.7, HAK6"	19q13.33	AF315818	NM_031886	ENSG00000104848	3743
KCNA10	potassium voltage-gated channel subfamily A member 10		Kv1.8	1p13.3	U96110	NM_005549	ENSG00000143105	3744
KCNAB1	potassium voltage-gated channel subfamily A member regulatory beta subunit 1		"AKR6A3, KCNA1B, hKvBeta3, Kvb1.3, hKvb3"	3q25.31	U33428	NM_003471	ENSG00000169282	7881
KCNAB1-AS1	KCNAB1 antisense RNA 1			3q25.31			ENSG00000242370	
KCNAB1-AS2	KCNAB1 antisense RNA 2			3q25.31			ENSG00000240596	
KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2		"AKR6A5, KCNA2B, HKvbeta2.1, HKvbeta2.2"	1p36.31	U33429	NM_172130	ENSG00000069424	8514
KCNAB3	potassium voltage-gated channel subfamily A regulatory beta subunit 3		"AKR6A9, KCNA3B"	17p13.1	AF016411	NM_004732	ENSG00000170049	9196
KCNB1	potassium voltage-gated channel subfamily B member 1		Kv2.1	20q13.13	AF026005	NM_004975	ENSG00000158445	3745
KCNB2	potassium voltage-gated channel subfamily B member 2		Kv2.2	8q21.11	U69962	NM_004770	ENSG00000182674	9312
KCNC1	potassium voltage-gated channel subfamily C member 1		Kv3.1	11p15.1	M96747	NM_004976	ENSG00000129159	3746
KCNC2	potassium voltage-gated channel subfamily C member 2		Kv3.2	12q21.1	AF268896	NM_153748	ENSG00000166006	3747
KCNC3	potassium voltage-gated channel subfamily C member 3	SCA13	Kv3.3	19q13.33	AB208930	NM_004977	ENSG00000131398	3748
KCNC4	potassium voltage-gated channel subfamily C member 4	C1orf30	"Kv3.4, HKSHIIIC"	1p13.3	BC101769	NM_001039574	ENSG00000116396	3749
KCND1	potassium voltage-gated channel subfamily D member 1		Kv4.1	Xp11.23	AF166003	NM_004979	ENSG00000102057	3750
KCND2	potassium voltage-gated channel subfamily D member 2		"Kv4.2, RK5, KIAA1044"	7q31.31	AJ010969	NM_012281	ENSG00000184408	3751
KCND3	potassium voltage-gated channel subfamily D member 3	"SCA22, SCA19"	"Kv4.3, KSHIVB"	1p13.2	AF048713	NM_172198	ENSG00000171385	3752
KCND3-AS1	KCND3 antisense RNA 1			1p13.2			ENSG00000237556	
KCND3-IT1	KCND3 intronic transcript 1			1p13.2			ENSG00000232558	
KCNE1	potassium voltage-gated channel subfamily E regulatory subunit 1		"minK, ISK, JLNS2, LQT5"	21q22.12	L28168		ENSG00000180509	3753
KCNE1B	potassium voltage-gated channel subfamily E regulatory subunit 1B			21p11.2			ENSG00000276289	102723475
KCNE2	potassium voltage-gated channel subfamily E regulatory subunit 2		"MiRP1, LQT6"	21q22.11	AF071002		ENSG00000159197	9992
KCNE3	potassium voltage-gated channel subfamily E regulatory subunit 3		"MiRP2, HOKPP"	11q13.4	AF076531	NM_005472		10008
KCNE4	potassium voltage-gated channel subfamily E regulatory subunit 4		MiRP3	2q36.1	AY065987	NM_080671	ENSG00000152049	23704
KCNE5	potassium voltage-gated channel subfamily E regulatory subunit 5	KCNE1L		Xq23	AJ012743	NM_012282	ENSG00000176076	23630
KCNF1	potassium voltage-gated channel modifier subfamily F member 1	KCNF	"Kv5.1, kH1, IK8"	2p25.1	AF033382	NM_002236	ENSG00000162975	3754
KCNG1	potassium voltage-gated channel modifier subfamily G member 1	KCNG	"Kv6.1, kH2, K13"	20q13.13	AF033383	NM_002237	ENSG00000026559	3755
KCNG2	potassium voltage-gated channel modifier subfamily G member 2		"Kv6.2, KCNF2"	18q23	AJ011021	NM_012283	ENSG00000178342	26251
KCNG3	potassium voltage-gated channel modifier subfamily G member 3		Kv6.3	2p21	AB070604	NM_172344	ENSG00000171126	170850
KCNG4	potassium voltage-gated channel modifier subfamily G member 4		Kv6.4	16q24.1	AF348984	NM_172347	ENSG00000168418	93107
KCNH1	potassium voltage-gated channel subfamily H member 1		"Kv10.1, eag, h-eag, eag1"	1q32.2	AJ001366	NM_002238	ENSG00000143473	3756
KCNH1-IT1	KCNH1 intronic transcript 1			1q32.2			ENSG00000234233	
KCNH2	potassium voltage-gated channel subfamily H member 2	LQT2	"Kv11.1, HERG, erg1"	7q36.1	U04270	NM_000238	ENSG00000055118	3757
KCNH3	potassium voltage-gated channel subfamily H member 3		"Kv12.2, BEC1, elk2"	12q13.12	AB022696	NM_012284	ENSG00000135519	23416
KCNH4	potassium voltage-gated channel subfamily H member 4		"Kv12.3, elk1"	17q21.2	AB022698	NM_012285	ENSG00000089558	23415
KCNH5	potassium voltage-gated channel subfamily H member 5		"Kv10.2, H-EAG2, eag2"	14q23.2	U69185	NM_139318	ENSG00000140015	27133
KCNH6	potassium voltage-gated channel subfamily H member 6		"Kv11.2, erg2, HERG2"	17q23.3	AF311913	NM_030779		81033
KCNH7	potassium voltage-gated channel subfamily H member 7		"Kv11.3, HERG3, erg3"	2q24.2	AF032897	NM_033272	ENSG00000184611	90134
KCNH8	potassium voltage-gated channel subfamily H member 8		"Kv12.1, elk3"	3p24.3	AY053503	NM_144633	ENSG00000183960	131096
KCNIP1	potassium voltage-gated channel interacting protein 1		KCHIP1	5q35.1	AF199597	NM_001278339	ENSG00000182132	30820
KCNIP2	potassium voltage-gated channel interacting protein 2		KCHIP2	10q24.32			ENSG00000120049	30819
KCNIP2-AS1	KCNIP2 antisense RNA 1			10q24.32			ENSG00000226009	100289509
KCNIP3	potassium voltage-gated channel interacting protein 3	CSEN	"DREAM, KCHIP3"	2q11.1	AF199599	NM_013434	ENSG00000115041	30818
KCNIP4	potassium voltage-gated channel interacting protein 4		"CALP, KCHIP4, MGC44947"	4p15.31-p15.2	AF453244	NM_025221	ENSG00000185774	80333
KCNIP4-IT1	KCNIP4 intronic transcript 1	NCRNA00099	UM9-5	4p15.2	BK000166	NR_002813	ENSG00000280650	359822
KCNJ1	potassium voltage-gated channel subfamily J member 1		"Kir1.1, ROMK1"	11q24.3	BC063109	NM_000220	ENSG00000151704	3758
KCNJ2	potassium voltage-gated channel subfamily J member 2		"Kir2.1, IRK1, LQT7"	17q24.3	AF011904	NM_000891		3759
KCNJ2-AS1	KCNJ2 antisense RNA 1		FLJ36644	17q24.3	AK093963	NR_036534	ENSG00000267365	400617
KCNJ3	potassium voltage-gated channel subfamily J member 3		"Kir3.1, GIRK1, KGA"	2q24.1	U50964	NM_002239	ENSG00000162989	3760
KCNJ4	potassium voltage-gated channel subfamily J member 4		"Kir2.3, HIR, HRK1, hIRK2, IRK3"	22q13.1	U07364	NM_004981	ENSG00000168135	3761
KCNJ5	potassium voltage-gated channel subfamily J member 5		"Kir3.4, CIR, KATP1, GIRK4, LQT13"	11q24.3	D50134	NM_000890	ENSG00000120457	3762
KCNJ6	potassium voltage-gated channel subfamily J member 6	KCNJ7	"Kir3.2, GIRK2, KATP2, BIR1, hiGIRK2"	21q22.13	U24660	NM_002240	ENSG00000157542	3763
KCNJ6-AS1	KCNJ6 antisense RNA 1	KCNJ6-IT1		21q22.13			ENSG00000233213	
KCNJ8	potassium voltage-gated channel subfamily J member 8		Kir6.1	12p12.1	BC000544	NM_004982	ENSG00000121361	3764
KCNJ9	potassium voltage-gated channel subfamily J member 9		"Kir3.3, GIRK3"	1q23.2	U52152	NM_004983	ENSG00000162728	3765
KCNJ10	potassium voltage-gated channel subfamily J member 10		"Kir4.1, Kir1.2"	1q23.2	U52155	NM_002241	ENSG00000177807	3766
KCNJ11	potassium voltage-gated channel subfamily J member 11		"Kir6.2, BIR"	11p15.1	D50582	NM_000525		3767
KCNJ12	potassium voltage-gated channel subfamily J member 12	KCNJN1	"Kir2.2, Kir2.2v, IRK2, hIRK1"	17p11.2	L36069	NM_021012	ENSG00000184185	3768
KCNJ13	potassium voltage-gated channel subfamily J member 13		"Kir7.1, Kir1.4, LCA16"	2q37.1	AJ006128	NM_002242	ENSG00000115474	3769
KCNJ14	potassium voltage-gated channel subfamily J member 14		"Kir2.4, IRK4"	19q13.33	BC042033	NM_013348	ENSG00000182324	3770
KCNJ15	potassium voltage-gated channel subfamily J member 15		"Kir4.2, Kir1.3, IRKK"	21q22.13-q22.2	Y10745	NM_002243	ENSG00000157551	3772
KCNJ16	potassium voltage-gated channel subfamily J member 16		"Kir5.1, BIR9"	17q24.3	AF153815	NM_018658		3773
KCNJ18	potassium voltage-gated channel subfamily J member 18		"KIR2.6, TTPP2"	17p11.2		NM_001194958	ENSG00000260458	100134444
KCNK1	potassium two pore domain channel subfamily K member 1		"K2p1.1, DPK, TWIK-1"	1q42.2	U33632	NM_002245	ENSG00000135750	3775
KCNK2	potassium two pore domain channel subfamily K member 2		"K2p2.1, TREK-1"	1q41	AF004711	NM_014217	ENSG00000082482	3776
KCNK3	potassium two pore domain channel subfamily K member 3		"K2p3.1, TASK, TASK-1"	2p23.3	AF006823	NM_002246	ENSG00000171303	3777
KCNK4	potassium two pore domain channel subfamily K member 4		"K2p4.1, TRAAK"	11q13.1	AF247042	NM_033311	ENSG00000182450	50801
KCNK5	potassium two pore domain channel subfamily K member 5		"K2p5.1, TASK-2"	6p21.2	AF084830	NM_003740	ENSG00000164626	8645
KCNK6	potassium two pore domain channel subfamily K member 6		"K2p6.1, TWIK-2"	19q13.2	AF117708	NM_004823	ENSG00000099337	9424
KCNK7	potassium two pore domain channel subfamily K member 7		K2p7.1	11q13.1	AF110522	NM_005714	ENSG00000173338	10089
KCNK9	potassium two pore domain channel subfamily K member 9		"K2p9.1, TASK3, TASK-3"	8q24.3	AF212829	NM_016601	ENSG00000169427	51305
KCNK10	potassium two pore domain channel subfamily K member 10		"K2p10.1, TREK-2, TREK2, PPP1R97"	14q31.3	AF279890	NM_021161	ENSG00000100433	54207
KCNK12	potassium two pore domain channel subfamily K member 12		"THIK-2, THIK2, K2p12.1"	2p16.3	AF287302	NM_022055	ENSG00000184261	56660
KCNK13	potassium two pore domain channel subfamily K member 13		"K2p13.1, THIK-1, THIK1"	14q32.11	AF287303	NM_022054		56659
KCNK15	potassium two pore domain channel subfamily K member 15	"KCNK11, KCNK14"	"K2p15.1, dJ781B1.1, KT3.3, KIAA0237, TASK5, TASK-5"	20q13.12	AF257081	NM_022358	ENSG00000124249	60598
KCNK15-AS1	KCNK15 and WISP2 antisense RNA 1		RP11-445H22.4	20q13.12	BF195580	NR_132377	ENSG00000244558	106144538
KCNK16	potassium two pore domain channel subfamily K member 16		"K2p16.1, TALK-1, TALK1"	6p21.2	AF358909	NM_032115	ENSG00000095981	83795
KCNK17	potassium two pore domain channel subfamily K member 17		"K2p17.1, TALK-2, TALK2, TASK4, TASK-4"	6p21.2	AF358910	NM_031460	ENSG00000124780	89822
KCNK18	potassium two pore domain channel subfamily K member 18		"K2p18.1, TRESK-2, TRESK2, TRESK, TRIK"	10q25.3	AB087138	NM_181840	ENSG00000186795	338567
KCNMA1	potassium calcium-activated channel subfamily M alpha 1	SLO	"KCa1.1, mSLO1"	10q22.3	U11717	NM_002247	ENSG00000156113	3778
KCNMA1-AS1	KCNMA1 antisense RNA 1			10q22.3	BX092192	NR_120655	ENSG00000236467	101929328
KCNMA1-AS2	KCNMA1 antisense RNA 2			10q22.3		NR_120654	ENSG00000225497	101929310
KCNMA1-AS3	KCNMA1 antisense RNA 3			10q22.3	"AA453582, AW510993"		ENSG00000225652	101929286
KCNMB1	potassium calcium-activated channel subfamily M regulatory beta subunit 1		hslo-beta	5q35.1	AF035046		ENSG00000145936	3779
KCNMB2	potassium calcium-activated channel subfamily M regulatory beta subunit 2			3q26.32	AF099137	NM_181361	ENSG00000197584	10242
KCNMB2-AS1	KCNMB2 antisense RNA 1		RP11-385J1.2	3q26.32	"BG977814, BG206373, DA735220"		ENSG00000237978	
KCNMB3	potassium calcium-activated channel subfamily M regulatory beta subunit 3	"KCNMB2, KCNMBL"		3q26.32	AF139471		ENSG00000171121	27094
KCNMB3P1	potassium calcium-activated channel subfamily M regulatory beta subunit 3 pseudogene 1	"KCNMB2L, KCNMBLP, KCNMB3L"	KCNMB3L1	22q11.1	AP000365	NG_002679	ENSG00000239435	27093
KCNMB4	potassium calcium-activated channel subfamily M regulatory beta subunit 4			12q15	AF207992	NM_014505	ENSG00000135643	27345
KCNN1	potassium calcium-activated channel subfamily N member 1		"KCa2.1, hSK1"	19p13.11	U69883	NM_002248	ENSG00000105642	3780
KCNN2	potassium calcium-activated channel subfamily N member 2		"KCa2.2, hSK2"	5q22.3	AF239613	NM_021614	ENSG00000080709	3781
KCNN3	potassium calcium-activated channel subfamily N member 3		"KCa2.3, hSK3, SKCA3"	1q21.3	AF031815	NM_002249	ENSG00000143603	3782
KCNN4	potassium calcium-activated channel subfamily N member 4		"KCa3.1, hSK4, hKCa4, hIKCa1, IK"	19q13.31	AF022797	NM_002250	ENSG00000104783	3783
KCNQ1	potassium voltage-gated channel subfamily Q member 1	"LQT, KCNA9"	"Kv7.1, KCNA8, KVLQT1, JLNS1, LQT1"	11p15.5-p15.4	AF000571	NM_000218	ENSG00000053918	3784
KCNQ1-AS1	KCNQ1 antisense RNA 1			11p15.4	AJ251642		ENSG00000229414	338653
KCNQ1DN	KCNQ1 downstream neighbor		"BWRT, HSA404617"	11p15.4	AB039920	NR_024627	ENSG00000237941	55539
KCNQ1OT1	KCNQ1 opposite strand/antisense transcript 1		"KvDMR1, KCNQ1-AS2, KvLQT1-AS, LIT1, NCRNA00012"	11p15.5		NR_002728	ENSG00000269821	10984
KCNQ2	potassium voltage-gated channel subfamily Q member 2	"EBN, EBN1"	"Kv7.2, ENB1, BFNC, KCNA11, HNSPC"	20q13.33	AF033348	NM_172109	ENSG00000075043	3785
KCNQ3	potassium voltage-gated channel subfamily Q member 3	EBN2	Kv7.3	8q24.22	AB208890	NM_004519	ENSG00000184156	3786
KCNQ4	potassium voltage-gated channel subfamily Q member 4	DFNA2	Kv7.4	1p34.2	AF105202	NM_004700	ENSG00000117013	9132
KCNQ5	potassium voltage-gated channel subfamily Q member 5		Kv7.5	6q13	AF202977	NM_019842	ENSG00000185760	56479
KCNQ5-AS1	KCNQ5 antisense RNA 1			6q13			ENSG00000229154	
KCNQ5-IT1	KCNQ5 intronic transcript 1			6q13			ENSG00000233844	100507381
KCNRG	potassium channel regulator			13q14.2			ENSG00000198553	283518
KCNS1	potassium voltage-gated channel modifier subfamily S member 1		Kv9.1	20q13.12	AF043473	NM_002251	ENSG00000124134	3787
KCNS2	potassium voltage-gated channel modifier subfamily S member 2		Kv9.2	8q22.2	AB032970	NM_020697	ENSG00000156486	3788
KCNS3	potassium voltage-gated channel modifier subfamily S member 3		Kv9.3	2p24.2	AF043472	NM_002252	ENSG00000170745	3790
KCNT1	potassium sodium-activated channel subfamily T member 1		"KCa4.1, KIAA1422, SLACK, Slo2.2"	9q34.3	AB037843	NM_020822	ENSG00000107147	57582
KCNT2	potassium sodium-activated channel subfamily T member 2		"KCa4.2, SLICK, SLO2.1"	1q31.3	"BX647852, AY359444, AK127807"	NM_198503	ENSG00000162687	343450
KCNU1	potassium calcium-activated channel subfamily U member 1		"KCa5.1, Slo3, KCNMC1, Kcnma3"	8p11.23	BC028701	NM_001031836	ENSG00000215262	157855
KCNV1	potassium voltage-gated channel modifier subfamily V member 1		Kv8.1	8q23.2	AF167082	NM_014379	ENSG00000164794	27012
KCNV2	potassium voltage-gated channel modifier subfamily V member 2		Kv8.2	9p24.2	AF348983	NM_133497	ENSG00000168263	169522
KCP	kielin cysteine rich BMP regulator	CRIM2	"FLJ33365, NET67"	7q32.1	AK122706	NM_199349	ENSG00000135253	375616
KCTD1	potassium channel tetramerization domain containing 1	C18orf5		18q11.2	AF542549	NM_001136205	ENSG00000134504	284252
KCTD2	potassium channel tetramerization domain containing 2		KIAA0176	17q25.1	BC033329		ENSG00000180901	23510
KCTD3	potassium channel tetramerization domain containing 3		NY-REN-45	1q41	AK024547	NM_016121	ENSG00000136636	51133
KCTD4	potassium channel tetramerization domain containing 4		bA321C24.3	13q14.12-q14.13	BC018063		ENSG00000180332	386618
KCTD5	potassium channel tetramerization domain containing 5		FLJ20040	16p13.3	AK000047	NM_018992	ENSG00000167977	54442
KCTD6	potassium channel tetramerization domain containing 6		"MGC27385, KCASH3"	3p14.3	AK074934	NM_153331	ENSG00000168301	200845
KCTD7	potassium channel tetramerization domain containing 7		"FLJ32069, EPM3, CLN14"	7q11.21	AK056631	NM_153033	ENSG00000243335	154881
KCTD8	potassium channel tetramerization domain containing 8			4p13	AK123347		ENSG00000183783	386617
KCTD9	potassium channel tetramerization domain containing 9		"FLJ20038, BTBD27"	8p21.2	BC021216	NM_017634	ENSG00000104756	54793
KCTD9P1	potassium channel tetramerization domain containing 9 pseudogene 1		HsT38306	17p11.2		NG_026227	ENSG00000225014	100422273
KCTD9P2	potassium channel tetramerization domain containing 9 pseudogene 2	KCTD9L		Xq22.3		NG_011074	ENSG00000181819	643535
KCTD9P3	potassium channel tetramerization domain containing 9 pseudogene 3			9p13.2		NG_021645	ENSG00000187988	647013
KCTD9P4	potassium channel tetramerization domain containing 9 pseudogene 4			11q23.1		NG_024561	ENSG00000214264	100422242
KCTD9P5	potassium channel tetramerization domain containing 9 pseudogene 5			5p13.2		NG_024585	ENSG00000248216	100422179
KCTD9P6	potassium channel tetramerization domain containing 9 pseudogene 6			8p12		NG_030274	ENSG00000229211	642513
KCTD10	potassium channel tetramerization domain containing 10		"MSTP028, BTBD28"	12q24.11	BC040062	NM_031954	ENSG00000110906	83892
KCTD10P1	potassium channel tetramerization domain containing 10 pseudogene 1			9p21.1		NG_023794	ENSG00000224955	100422230
KCTD11	potassium channel tetramerization domain containing 11	C17orf36	"REN, KCASH1"	17p13.1	AK056227	NM_001002914	ENSG00000213859	147040
KCTD12	potassium channel tetramerization domain containing 12	C13orf2	"KIAA1778, PFET1"	13q22.3	AF359381	NM_138444	ENSG00000178695	115207
KCTD13	potassium channel tetramerization domain containing 13		"PDIP1, FKSG86, POLDIP1"	16p11.2	AF289573	NM_178863	ENSG00000174943	253980
KCTD14	potassium channel tetramerization domain containing 14		MGC2376	11q14.1	BC001062	NM_023930	ENSG00000151364	65987
KCTD15	potassium channel tetramerization domain containing 15		MGC25497	19q13.11	AK025590	NM_024076	ENSG00000153885	79047
KCTD16	potassium channel tetramerization domain containing 16		KIAA1317	5q31.3	AB037738	NM_020768	ENSG00000183775	57528
KCTD17	potassium channel tetramerization domain containing 17		FLJ12242	22q12.3	BC025403	NM_024681	ENSG00000100379	79734
KCTD18	potassium channel tetramerization domain containing 18		"FLJ31322, 6530404F10Rik, FLJ37818"	2q33.1	AK055884	NM_152387	ENSG00000155729	130535
KCTD19	potassium channel tetramerization domain containing 19		FLJ40162	16q22.1	AK097481	NM_001100915		146212
KCTD20	potassium channel tetramerization domain containing 20	C6orf69	"dJ108K11.3, MGC14254"	6p21.31	BC023525	NM_173562	ENSG00000112078	222658
KCTD21	potassium channel tetramerization domain containing 21		KCASH2	11q14.1	AK095233	NM_001029859		283219
KCTD21-AS1	KCTD21 antisense RNA 1			11q14.1			ENSG00000246174	100289388
KDELC1	KDEL motif containing 1		"MGC5302, EP58"	13q33.1	BC001297		ENSG00000134901	79070
KDELC1P1	KDEL motif containing 1 pseudogene 1			5q23.3			ENSG00000250329	100144494
KDELC2	KDEL motif containing 2		MGC33424	11q22.3	AF533708	NM_153705	ENSG00000178202	143888
KDELR1	KDEL endoplasmic reticulum protein retention receptor 1		"ERD2.1, ERD2, HDEL"	19q13.33	X55885		ENSG00000105438	10945
KDELR2	KDEL endoplasmic reticulum protein retention receptor 2		"ELP-1, ERD2.2"	7p22.1	X63745		ENSG00000136240	11014
KDELR3	KDEL endoplasmic reticulum protein retention receptor 3			22q13.1	AL035081		ENSG00000100196	11015
KDF1	keratinocyte differentiation factor 1	C1orf172	"FLJ34633, RP11-344H11.3"	1p36.11	AK091952	NM_152365	ENSG00000175707	126695
KDM1A	lysine demethylase 1A	"AOF2, KDM1"	"KIAA0601, BHC110, LSD1"	1p36.12	AL031428	NM_015013	ENSG00000004487	23028
KDM1B	lysine demethylase 1B	"C6orf193, AOF1"	"FLJ34109, FLJ33898, dJ298J15.2, bA204B7.3, FLJ43328, LSD2"	6p22.3	AK125318	NM_153042	ENSG00000165097	221656
KDM2A	lysine demethylase 2A	FBXL11	"KIAA1004, FBL11, LILINA, DKFZP434M1735, FBL7, FLJ00115, CXXC8, JHDM1A"	11q13.2	BC047486	NM_012308	ENSG00000173120	22992
KDM2B	lysine demethylase 2B	FBXL10	"PCCX2, CXXC2, Fbl10, JHDM1B"	12q24.31	AJ459424	NM_032590	ENSG00000089094	84678
KDM3A	lysine demethylase 3A	"JMJD1, JMJD1A"	"TSGA, KIAA0742, JHMD2A"	2p11.2	AB018285	NM_018433	ENSG00000115548	55818
KDM3B	lysine demethylase 3B	"C5orf7, JMJD1B"	"KIAA1082, NET22"	5q31.2	AF251039	NM_016604	ENSG00000120733	51780
KDM4A	lysine demethylase 4A	"JMJD2, JMJD2A"	"KIAA0677, JHDM3A, TDRD14A"	1p34.2-p34.1	AB014577	NM_014663	ENSG00000066135	9682
KDM4A-AS1	KDM4A antisense RNA 1			1p34.2-p34.1	BC073819	NR_033827	ENSG00000236200	100132774
KDM4B	lysine demethylase 4B	JMJD2B	"KIAA0876, TDRD14B"	19p13.3	AB020683	NM_015015		23030
KDM4C	lysine demethylase 4C	JMJD2C	"GASC1, KIAA0780, TDRD14C"	9p24.1	AB018323	NM_015061	ENSG00000107077	23081
KDM4D	lysine demethylase 4D	JMJD2D	FLJ10251	11q21	AK001113	NM_018039	ENSG00000186280	55693
KDM4E	lysine demethylase 4E	KDM4DL	"JMJD2E, KDM5E"	11q21	BC157851	NM_001161630	ENSG00000235268	390245
KDM4F	lysine demethylase 4F		JMJD2F	11q21			ENSG00000255855	100129053
KDM5A	lysine demethylase 5A	"RBBP2, JARID1A"		12p13.33		NM_005056	ENSG00000073614	5927
KDM5B	lysine demethylase 5B	JARID1B	"RBBP2H1A, PLU-1, CT31, PPP1R98"	1q32.1	AJ243706	NM_006618	ENSG00000117139	10765
KDM5C	lysine demethylase 5C	"SMCX, JARID1C, MRX13"	"DXS1272E, XE169"	Xp11.22	Z29650	NM_004187	ENSG00000126012	8242
KDM5C-IT1	KDM5C intronic transcript 1			Xp11.22			ENSG00000235262	
KDM5D	lysine demethylase 5D	"HYA, HY, SMCY, JARID1D"	KIAA0234	Yq11.223	U52191	NM_004653	ENSG00000012817	8284
KDM5DP1	lysine demethylase 5D pseudogene 1		SMCYP	Yq11.223		NG_002818	ENSG00000277438	359796
KDM6A	lysine demethylase 6A	UTX		Xp11.3	AF000992	NM_021140	ENSG00000147050	7403
KDM6B	lysine demethylase 6B	JMJD3	KIAA0346	17p13.1	AB002344	NM_001080424		23135
KDM7A	lysine demethylase 7A	JHDM1D	KIAA1718	7q34		NM_030647	ENSG00000006459	80853
KDM7A-DT	KDM7A divergent transcript	JHDM1D-AS1		7q34		NR_024451	ENSG00000260231	100134229
KDM8	lysine demethylase 8	JMJD5	FLJ13798	16p12.1	AK023860	NM_024773	ENSG00000155666	79831
KDR	kinase insert domain receptor		"FLK1, VEGFR, VEGFR2, CD309"	4q12	AF035121		ENSG00000128052	3791
KDSR	3-ketodihydrosphingosine reductase	FVT1	"DHSR, SDR35C1"	18q21.33			ENSG00000119537	2531
KEAP1	kelch like ECH associated protein 1		"KIAA0132, MGC10630, MGC1114, MGC20887, MGC4407, MGC9454, INrf2, KLHL19"	19p13.2	AF361886	NM_012289		9817
KEL	Kell metallo-endopeptidase (Kell blood group)		"ECE3, CD238"	7q34	BC003135	NM_000420	ENSG00000197993	3792
KERA	keratocan	CNA2	SLRR2B	12q21.33	AF063301	NM_007035	ENSG00000139330	11081
